,Perioden,Opdrachtgever,Eigendom,Woningen_2,Wooneenheden_3,Recreatiewoningen_4
,,,,sum,sum,sum
0,2012-03-01,Andere particuliere opdrachtgevers,Huurwoningen,41.0,0.0,46.0
1,2012-03-01,Andere particuliere opdrachtgevers,Koopwoningen,1152.0,0.0,31.0
2,2012-03-01,Bouwers voor de markt,Huurwoningen,1237.0,1505.0,11.0
3,2012-03-01,Bouwers voor de markt,Koopwoningen,2951.0,0.0,8.0
4,2012-03-01,Overheid of woningcorporatie,Huurwoningen,2341.0,0.0,0.0
5,2012-03-01,Overheid of woningcorporatie,Koopwoningen,1016.0,0.0,0.0
6,2012-06-01,Andere particuliere opdrachtgevers,Huurwoningen,145.0,0.0,110.0
7,2012-06-01,Andere particuliere opdrachtgevers,Koopwoningen,1139.0,0.0,41.0
8,2012-06-01,Bouwers voor de markt,Huurwoningen,1377.0,0.0,6.0
9,2012-06-01,Bouwers voor de markt,Koopwoningen,3925.0,0.0,3.0
10,2012-06-01,Overheid of woningcorporatie,Huurwoningen,2342.0,250.0,0.0
11,2012-06-01,Overheid of woningcorporatie,Koopwoningen,1011.0,0.0,0.0
12,2012-09-01,Andere particuliere opdrachtgevers,Huurwoningen,123.0,0.0,32.0
13,2012-09-01,Andere particuliere opdrachtgevers,Koopwoningen,1058.0,0.0,30.0
14,2012-09-01,Bouwers voor de markt,Huurwoningen,2404.0,0.0,30.0
15,2012-09-01,Bouwers voor de markt,Koopwoningen,3967.0,0.0,49.0
16,2012-09-01,Overheid of woningcorporatie,Huurwoningen,1740.0,0.0,0.0
17,2012-09-01,Overheid of woningcorporatie,Koopwoningen,732.0,0.0,0.0
18,2012-12-01,Andere particuliere opdrachtgevers,Huurwoningen,93.0,56.0,29.0
19,2012-12-01,Andere particuliere opdrachtgevers,Koopwoningen,943.0,0.0,39.0
20,2012-12-01,Bouwers voor de markt,Huurwoningen,1261.0,357.0,1.0
21,2012-12-01,Bouwers voor de markt,Koopwoningen,3476.0,0.0,21.0
22,2012-12-01,Overheid of woningcorporatie,Huurwoningen,2362.0,233.0,12.0
23,2012-12-01,Overheid of woningcorporatie,Koopwoningen,401.0,0.0,0.0
24,2013-03-01,Andere particuliere opdrachtgevers,Huurwoningen,68.0,0.0,34.0
25,2013-03-01,Andere particuliere opdrachtgevers,Koopwoningen,884.0,0.0,21.0
26,2013-03-01,Bouwers voor de markt,Huurwoningen,884.0,583.0,2.0
27,2013-03-01,Bouwers voor de markt,Koopwoningen,1815.0,0.0,89.0
28,2013-03-01,Overheid of woningcorporatie,Huurwoningen,1797.0,73.0,0.0
29,2013-03-01,Overheid of woningcorporatie,Koopwoningen,525.0,0.0,0.0
30,2013-06-01,Andere particuliere opdrachtgevers,Huurwoningen,148.0,0.0,5.0
31,2013-06-01,Andere particuliere opdrachtgevers,Koopwoningen,803.0,0.0,47.0
32,2013-06-01,Bouwers voor de markt,Huurwoningen,1637.0,41.0,3.0
33,2013-06-01,Bouwers voor de markt,Koopwoningen,2425.0,0.0,12.0
34,2013-06-01,Overheid of woningcorporatie,Huurwoningen,1129.0,566.0,0.0
35,2013-06-01,Overheid of woningcorporatie,Koopwoningen,448.0,0.0,0.0
36,2013-09-01,Andere particuliere opdrachtgevers,Huurwoningen,56.0,0.0,14.0
37,2013-09-01,Andere particuliere opdrachtgevers,Koopwoningen,868.0,0.0,14.0
38,2013-09-01,Bouwers voor de markt,Huurwoningen,1446.0,0.0,39.0
39,2013-09-01,Bouwers voor de markt,Koopwoningen,2055.0,0.0,1.0
40,2013-09-01,Overheid of woningcorporatie,Huurwoningen,919.0,0.0,0.0
41,2013-09-01,Overheid of woningcorporatie,Koopwoningen,469.0,0.0,0.0
42,2013-12-01,Andere particuliere opdrachtgevers,Huurwoningen,77.0,168.0,25.0
43,2013-12-01,Andere particuliere opdrachtgevers,Koopwoningen,800.0,0.0,21.0
44,2013-12-01,Bouwers voor de markt,Huurwoningen,1191.0,910.0,0.0
45,2013-12-01,Bouwers voor de markt,Koopwoningen,3837.0,0.0,2.0
46,2013-12-01,Overheid of woningcorporatie,Huurwoningen,1286.0,0.0,0.0
47,2013-12-01,Overheid of woningcorporatie,Koopwoningen,288.0,0.0,0.0
48,2014-03-01,Andere particuliere opdrachtgevers,Huurwoningen,14.0,0.0,30.0
49,2014-03-01,Andere particuliere opdrachtgevers,Koopwoningen,977.0,0.0,65.0
50,2014-03-01,Bouwers voor de markt,Huurwoningen,1567.0,0.0,50.0
51,2014-03-01,Bouwers voor de markt,Koopwoningen,3605.0,0.0,19.0
52,2014-03-01,Overheid of woningcorporatie,Huurwoningen,1092.0,0.0,0.0
53,2014-03-01,Overheid of woningcorporatie,Koopwoningen,391.0,0.0,0.0
54,2014-06-01,Andere particuliere opdrachtgevers,Huurwoningen,41.0,0.0,27.0
55,2014-06-01,Andere particuliere opdrachtgevers,Koopwoningen,1241.0,0.0,82.0
